box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1136_output,WIENER NEUSTADT,WIENER NEUSTADT UNIDENTIFIED TARGET,4749N,1616E,290610,1.0,10.0,0.0,1400.0,8.0,305G,23.0,258.0,7.0,G,1.0,138.0,4.0,69.0,4.0,3.0,,,,,,,69.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,1.0,10.0,3.0,1152.0,8.0,44G,25.0,180.0,7.0,G,1.0,60.0,4.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,10.0,10.0,3.0,1515.0,8.0,53G,25.0,180.0,7.0,G,2.0,60.0,4.0,33.0,9.0,2.0,1.0,6.0,0.25,,,,33.25,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,11.0,10.0,3.0,1530.0,8.0,54G,25.0,180.0,7.0,G,2.0,60.0,4.0,33.0,9.0,2.0,1.0,7.0,0.042,,,,33.042,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,12.0,10.0,3.0,1545.0,8.0,55G,25.0,180.0,7.0,G,2.0,60.0,4.0,33.0,9.0,2.0,1.0,8.0,0.114,,,,33.114,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,15.0,10.0,3.0,1700.0,8.0,58G,25.0,180.0,7.0,G,2.0,60.0,4.0,30.0,9.0,2.0,,,,,,,30.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,6.0,10.0,3.0,1415.0,8.0,49G,25.0,180.0,7.0,G,2.0,60.0,4.0,30.0,6.0,2.0,,,,,,,30.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,7.0,10.0,3.0,1430.0,8.0,50G,25.0,180.0,7.0,G,3.0,60.0,4.0,30.0,9.0,2.0,,,,,,,30.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,8.0,10.0,3.0,1445.0,8.0,51G,25.0,180.0,7.0,G,2.0,60.0,4.0,30.0,9.0,2.0,1.0,5.0,0.05,,,,30.05,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3172_output,WIENER NEUSTADT,MESSERSCHMITT A G,4749 N,1616E,2906 111,9.0,10.0,3.0,1500.0,8.0,52G,25.0,180.0,7.0,G,2.0,60.0,4.0,30.0,9.0,2.0,,,,,,,30.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3174_output,WIENER NEUSTADT,A C ASSEMBLY PLNT,4749N,1616E,2906113,2.0,11.0,3.0,1226.0,15.0,376G,25.0,240.0,7.0,G,1.0,101.0,4.0,50.5,4.0,16.0,,,,,,,50.5,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3174_output,WIENER NEUSTADT,A C ASSEMBLY PLNT,4749N,1616E,2906113,2.0,11.0,3.0,1229.0,15.0,98G,19.0,218.0,7.0,G,1.0,114.0,4.0,57.0,4.0,16.0,,,,,,,57.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3171_output,WIENER NEUSTADT,Werk I & II AC FACTORY,4749N,1616E,2906 110,2.0,11.0,3.0,1230.0,15.0,200G,15.0,220.0,7.0,G,1.0,16.363636363636363,4.0,9.0,4.0,3.0,2.0,5.0,0.1,,,,9.1,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3174_output,WIENER NEUSTADT,A C ASSEMBLY PLNT,4749N,1616E,2906113,2.0,11.0,3.0,1230.0,15.0,400G,51.0,220.0,7.0,G,1.0,99.0,4.0,54.45,4.0,3.0,,,,261.0,1.0,0.522,54.972,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3174_output,WIENER NEUSTADT,A C ASSEMBLY PLNT,4749N,1616E,2906113,2.0,11.0,3.0,1230.0,15.0,403G,150.0,225.0,7.0,G,1.0,,,,,,,,,261.0,9.0,100.0,100.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3174_output,WIENER NEUSTADT,A C ASSEMBLY PLNT,4749N,1616E,2906113,2.0,11.0,3.0,1230.0,15.0,404G,163.0,225.0,7.0,G,1.0,,,,,,,,,261.0,3.0,3.0015,3.0015,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3174_output,WIENER NEUSTADT,A C ASSEMBLY PLNT,4749N,1616E,2906113,2.0,11.0,3.0,1230.0,15.0,405G,175.0,225.0,7.0,G,1.0,,,,,,,,,261.0,4.0,11.745,11.745,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3174_output,WIENER NEUSTADT,A C ASSEMBLY PLNT,4749N,1616E,2906113,2.0,11.0,3.0,1230.0,15.0,406G,176.0,225.0,7.0,G,1.0,,,,,,,,,27.0,5.0,3.51,3.51,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3171_output,WIENER NEUSTADT,Werk I & II AC FACTORY,4749N,1616E,2906 110,3.0,11.0,3.0,1230.0,15.0,99G,16.0,240.0,7.0,G,1.0,100.0,4.0,48.0,4.0,3.0,2.0,5.0,0.1,50.0,6.0,1.725,49.825,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3171_output,WIENER NEUSTADT,Werk I & II AC FACTORY,4749N,1616E,2906 110,3.0,11.0,3.0,1230.0,15.0,301G,20.0,246.0,7.0,G,1.0,120.0,4.0,60.0,4.0,3.0,3.0,5.0,0.15,51.0,6.0,1.7595,61.9095,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3174_output,WIENER NEUSTADT,A C ASSEMBLY PLNT,4749N,1616E,2906113,3.0,11.0,3.0,1230.0,15.0,407G,177.0,225.0,7.0,G,1.0,,,,,,,,,288.0,9.0,100.0,100.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4927_output,WIENER NEUSTADT,MARSHALLING YARDS,4749 N,1616E,0000190,15.0,2.0,4.0,1148.0,15.0,484G,36.0,200.0,7.0,G,1.0,,,,,,,,,6000.0,7.0,360.0,360.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3171_output,WIENER NEUSTADT,Werk I & II AC FACTORY,4749N,1616E,2906 110,12.0,4.0,4.0,1205.0,15.0,377G,34.0,230.0,7.0,G,1.0,999.0,1.0,70.0,4.0,3.0,3.0,5.0,0.15,,,,70.15,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3639_output,WIENER NEUSTADT,AIRDROME,4749N,1616E,2906 780,12.0,4.0,4.0,1207.0,15.0,449G,33.0,237.0,7.0,G,1.0,999.0,1.0,52.0,4.0,1.0,,,,,,,52.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3639_output,WIENER NEUSTADT,AIRDROME,4749N,1616E,2906 780,14.0,4.0,4.0,1439.0,15.0,460G,34.0,235.0,7.0,G,1.0,,,,,,,,,3600.0,2.0,36.0,36.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3171_output,WIENER NEUSTADT,Werk I & II AC FACTORY,4749N,1616E,2906 110,14.0,4.0,4.0,1440.0,15.0,379G,35.0,225.0,7.0,C,1.0,420.0,3.0,105.0,4.0,2.0,,,,,,,105.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3171_output,WIENER NEUSTADT,Werk I & II AC FACTORY,4749N,1616E,2906 110,15.0,4.0,4.0,1427.0,15.0,380G,35.0,233.0,7.0,C,1.0,420.0,3.0,105.0,4.0,2.0,4.0,5.0,0.2,,,,105.2,False
