box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,12.0,0.0,1150.0,R,93SG,1.0,235.0,3.0,N,1.0,2.0,3.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,2,1.0,1.0,1215.0,8,392BG,6.0,215.0,3.0,N,1.0,72.0,3.0,21.6,4.0,3.0,,,,,,,21.6,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,2,1.0,1.0,1215.0,8,445G,10.0,210.0,3.0,N,1.0,120.0,3.0,30.0,4.0,3.0,2.0,7.0,0.084,,,,30.084,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,2,1.0,1.0,1215.0,8,445BG,10.0,223.0,3.0,N,1.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,1.0,1.0,1215.0,8,389G,10.0,232.0,3.0,N,1.0,90.0,3.0,23.0,4.0,3.0,20.0,6.0,5.0,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,1.0,1.0,1215.0,8,445CG,10.0,215.0,3.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,1.0,1.0,1215.0,8,446AG,9.0,210.0,3.0,N,1.0,98.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,1.0,1.0,1216.0,8,453BG,11.0,223.0,3.0,N,1.0,122.0,3.0,28.0,4.0,3.0,1.0,7.0,0.042,,,,28.042,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,1.0,1.0,1216.0,8,453CG,11.0,225.0,3.0,N,1.0,122.0,3.0,31.0,4.0,3.0,2.0,7.0,0.084,,,,31.084,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,1.0,1.0,1216.0,8,458AG,8.0,234.0,3.0,N,1.0,76.0,3.0,19.0,4.0,3.0,2.0,7.0,0.084,,,,19.084,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,1.0,1.0,1223.0,8,453AG,10.0,245.0,3.0,N,1.0,110.0,3.0,27.5,4.0,3.0,357.1428571428572,7.0,15.0,,,,42.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,25,1.0,1.0,1230.0,8,392AG,3.0,220.0,3.0,N,1.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5906_output,Bingen,Marshalling Yard,4958N,754E,0001164,2,5.0,1.0,1315.0,8,446BG,9.0,220.0,3.0,N,1.0,82.0,3.0,21.0,4.0,3.0,16.0,6.0,4.0,,,,25.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1771_output,Bingen,Unidentified Target,4958N,754E,46195,28-29,9.0,1.0,1200.0,R,,1.0,60.0,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
