box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,07-08,9.0,0.0,,R,,26.0,,,,,194.0,2.0,24.0,,,360.0,2.0,0.72,,,,24.72,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,08,9.0,0.0,,R,,17.0,,,,,24.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,08-09,9.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,08-09,9.0,0.0,,R,,1.0,,,,,13.0,2.0,2.0,,,60.0,2.0,0.12,,,,2.12,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,08-09,9.0,0.0,,R,,16.0,,,,,32.0,2.0,4.0,,,16.0,1.0,,,,,4.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,08-09,9.0,0.0,,R,,18.0,,,,,10.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,09-10,9.0,0.0,,R,,21.0,,,,,42.0,2.0,5.0,,,30.0,1.0,,,,,5.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,09-10,9.0,0.0,,R,,20.0,,,,,40.0,2.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,1,9.0,0.0,,R,,5.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,1,9.0,0.0,,R,,6.0,,,,,10.0,3.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,10-11,9.0,0.0,,R,,4.0,,,,,28.0,2.0,4.0,,,120.0,2.0,0.24,,,,4.24,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,10-11,9.0,0.0,,R,,4.0,,,,,40.0,2.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,10-11,9.0,0.0,,R,,9.0,,,,,18.0,2.0,2.0,,,16.0,1.0,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,10-11,9.0,0.0,,R,,10.0,,,,,108.0,2.0,13.5,,,,,,,,,13.5,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,11,9.0,0.0,,R,,20.0,,,,,296.0,2.0,37.0,,,960.0,2.0,2.0,,,,39.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,11-12,9.0,0.0,,R,,11.0,,,,,21.0,2.0,3.0,,,33.0,1.0,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,12,9.0,0.0,,R,,15.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,13-14,9.0,0.0,,R,,10.0,,,,,63.0,2.0,8.0,,,180.0,2.0,0.36,,,,8.36,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,13-14,9.0,0.0,,R,,10.0,,,,,18.0,2.0,2.0,,,20.0,1.0,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,13-14,9.0,0.0,,R,,15.0,,,,,16.0,2.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,14,9.0,0.0,,R,,6.0,,,,,62.0,2.0,8.0,,,,,,,,,8.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,14-15,9.0,0.0,,R,,9.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,14-15,9.0,0.0,,R,,4.0,,,,,8.0,2.0,1.0,,,8.0,1.0,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,14-15,9.0,0.0,,R,,8.0,,,,,48.0,2.0,7.2,,,,,,,,,7.2,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,15-16,9.0,0.0,,R,,10.0,,,,,20.0,2.0,3.0,,,180.0,2.0,0.36,,,,3.36,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,16,9.0,0.0,,R,,8.0,,,,,16.0,3.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,16,9.0,0.0,,R,,6.0,,,,,48.0,2.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,16,9.0,0.0,,R,,7.0,,,,,102.0,2.0,15.3,,,20.0,1.0,,,,,15.3,False
BOX_7,BOOK_17_NAVAL,IMG_7830_output,Ostend,Docks,,,3590710,16,9.0,0.0,,R,,2.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,16-16,9.0,0.0,,R,,5.0,,,,,32.0,2.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,17-18,9.0,0.0,,R,,18.0,,,,,220.0,2.0,28.0,,,900.0,2.0,2.0,,,,30.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,17-18,9.0,0.0,,R,,10.0,,,,,20.0,3.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,17-18,9.0,0.0,,R,,1.0,,,,,666.6666666666666,2.0,100.0,,,,,,,,,100.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,17-18,9.0,0.0,,R,,10.0,,,,,60.0,2.0,8.0,,,,,,,,,8.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,17-18,9.0,0.0,,R,,29.0,,,,,12.0,2.0,1.5,,,850.0,2.0,2.0,,,,3.5,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,18-19,9.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,18-19,9.0,0.0,,R,,17.0,,,,,8.0,2.0,1.0,,,22.0,1.0,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,19,9.0,0.0,,R,,15.0,,,,,264.0,1.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,20-21,9.0,0.0,,R,,15.0,,,,,187.0,2.0,23.0,,,840.0,2.0,2.0,,,,25.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,22,9.0,0.0,,R,,10.0,,,,,184.0,2.0,23.0,,,800.0,2.0,2.0,,,,25.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,22,9.0,0.0,,R,,5.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,22,9.0,0.0,,R,,8.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,22,9.0,0.0,,R,,8.0,,,,,10.0,2.0,1.5,,,,,,,,,1.5,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,22,9.0,0.0,,R,,3.0,,,,,24.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,22,9.0,0.0,,R,,10.0,,,,,40.0,2.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,22-23,9.0,0.0,,R,,8.0,,,,,126.0,2.0,16.0,,,460.0,2.0,1.0,,,,17.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,22-23,9.0,0.0,,R,,11.0,,,,,19.0,2.0,2.85,,,,,,,,,2.85,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,23-24,9.0,0.0,,R,,13.0,,,,,49.0,2.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,23-24,9.0,0.0,,R,,15.0,,,,,24.0,2.0,3.6,,,,,,,,,3.6,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,24,9.0,0.0,,R,,7.0,,,,,24.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,24-25,9.0,0.0,,R,,6.0,,,,,12.0,4.0,6.0,,,,,,,,,6.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,25,9.0,0.0,,R,,6.0,,,,,73.0,2.0,9.0,,,,,,,,,9.0,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,26-27,9.0,0.0,,R,,5.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,27-28,9.0,0.0,,R,,3.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,27-28,9.0,0.0,,R,,5.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,27-28,9.0,0.0,,R,,4.0,,,,,180.0,2.0,22.5,,,,,,,,,22.5,False
BOX_7,BOOK_17_NAVAL,IMG_7831_output,Ostend,Docks,,,3590710,28,9.0,0.0,,R,,7.0,,,,,28.0,2.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,28-29,9.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,28-29,9.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,29-30,9.0,0.0,,R,,1.0,,,,,6.0,2.0,0.9,,,60.0,2.0,0.12,,,,1.02,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,02-03,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,02-03,10.0,0.0,,R,,1.0,,,,,1.0,2.0,0.15,,,,,,,,,0.15,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,05,10.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,3.0,1.0,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,06,10.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,07-08,10.0,0.0,,R,,2.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,11-12,10.0,0.0,,R,,4.0,,,,,15.0,2.0,2.0,,,8.0,1.0,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,12,10.0,0.0,,R,,4.0,,,,,6.0,3.0,2.0,,,240.0,2.0,0.48,,,,2.48,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,12,10.0,0.0,,R,,6.0,,,,,6.0,4.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,12-13,10.0,0.0,,R,,1.0,,,,,7.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,12-13,10.0,0.0,,R,,3.0,,,,,17.0,2.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,13-14,10.0,0.0,,R,,2.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,13-14,10.0,0.0,,R,,2.0,,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,13-14,10.0,0.0,,R,,2.0,,,,,4.0,3.0,1.2,,,,,,,,,1.2,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,15,10.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,16,10.0,0.0,,R,,2.0,,,,,7.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7832_output,Ostend,Docks,,,3590710,17,10.0,0.0,,R,,2.0,,,,,5.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,23,10.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,1.0,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,24,10.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,2.0,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,24,10.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,4.0,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,24,10.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,5.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,24-25,10.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,3.0,,,,,,,0.3,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,25,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,6.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,26,10.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,7.0,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,27,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,8.0,60.0,2.0,0.12,,,,1.12,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,27,10.0,0.0,,R,,1.0,,,,,5.0,11.0,1.0,,9.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,29,10.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,11.0,120.0,2.0,0.24,,,,0.84,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,30,10.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,12.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,01-02,11.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,13.0,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,04-05,11.0,0.0,,R,,1.0,,,,,5.0,3.0,1.25,,15.0,120.0,2.0,0.24,,,,1.49,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,14-15,11.0,0.0,,R,,2.0,,,,,6.0,2.0,0.9,,16.0,,,,,,,0.9,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,15,11.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,16.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,15,11.0,0.0,,R,,2.0,,,,,2.0,4.0,1.0,,16.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,15-16,11.0,0.0,,R,,3.0,,,,,4.0,2.0,0.6,,16.0,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,15-16,11.0,0.0,,R,,3.0,,,,,5.0,11.0,1.0,,16.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,20-21,11.0,0.0,,R,,3.0,,,,,6.0,2.0,0.9,,16.0,,,,,,,0.9,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,20-21,11.0,0.0,,R,,3.0,,,,,6.666666666666667,2.0,1.0,,16.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,21,11.0,0.0,,R,,3.0,,,,,10.0,2.0,1.25,,16.0,,,,,,,1.25,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,22,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,16.0,240.0,2.0,0.48,,,,1.48,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,22-23,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,16.0,180.0,2.0,0.36,,,,1.36,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,22-23,11.0,0.0,,R,,1.0,,,,,1.0,2.0,0.125,,,,,,,,,0.125,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,23,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,16.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,23-24,11.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,24,11.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,16.0,,,,,,,0.6,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,24,11.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_17_NAVAL,IMG_7833_output,Ostend,Docks,,,3590710,26,11.0,0.0,,R,,1.0,,,,,,,,,,150.0,2.0,0.3,,,,0.3,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,04-05,12.0,0.0,,R,,3.0,,,,,12.0,2.0,1.8,,,,,,,,,1.8,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,06-07,12.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,06-07,12.0,0.0,,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,07-08,12.0,0.0,,R,,1.0,,,,,6.0,3.0,2.0,,,180.0,2.0,0.36,,,,2.36,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,07-08,12.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,09-10,12.0,0.0,,R,,1.0,,,,,1.0,2.0,0.15,,,120.0,2.0,0.24,,,,0.39,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,10-11,12.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,10-11,12.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,10-11,12.0,0.0,,R,,2.0,,,,,13.333333333333334,2.0,2.0,,,120.0,4.0,1.0,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,17-18,12.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,17-18,12.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,20,12.0,0.0,,R,,5.0,,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_7834_output,Ostend,Docks,,,3590710,20,12.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
